DATE,EVENT
01/01/1901,1 January: The Australian colonies federate.
22/01/1901,22 January: Edward VII becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Queen Victoria.
02/03/1901,2 March: Platt Amendment limits the autonomy of Cuba in exchange for withdrawal of American troops.
01/06/1901,June: Emily Hobhouse reports on the terrible conditions in the 45 British concentration camps for Boer women and children in South Africa.
06/09/1901,6 September: Assassination of William McKinley.
07/09/1901,7 September: Boxer Rebellion ends.
12/12/1901,12 December: Guglielmo Marconi receives the first trans-Atlantic radio signal.
10/12/1901,10 December: First Nobel Prizes awarded.
13/01/1902,13 January: Unification of Saudi Arabia begins.
20/05/1902,20 May: Cuba gains independence from the United States.
31/05/1902,31 May: Second Boer War ends.
02/07/1902,2 July: Philippine?American War ends.
17/07/1902,17 July: Willis Carrier invents the first modern electrical air conditioning unit.
15/02/1903,15 February: The first teddy bear is invented.
01/07/1903,1 July: The first Tour de France is held.
01/07/1903,July to August: In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labor Party.
04/08/1903,4 August: Pius X becomes Pope.
18/11/1903,"18 November: Independence of Panama, the Hay?Bunau-Varilla Treaty is signed by the United States and Panama."
17/12/1903,17 December: First controlled heavier-than-air flight of the Wright Brothers.
08/02/1904,8 February: A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War.
08/04/1904,8 April: Entente cordiale signed between Britain and France.
01/05/1904,May: Construction of the Panama Canal begins.
21/06/1904,21 June: Trans-Siberian railway is completed.
01/09/1904,September: End of British expedition to Tibet.
22/01/1905,22 January: The Revolution of 1905 in Russia begins.
01/03/1905,"March: The First Moroccan Crisis begins, going until May 1906."
07/06/1905,"7 June: The Norwegian Parliament declares the union with Sweden dissolved, and Norway achieves full independence."
05/09/1905,5 September: The Russo-Japanese War ends.
26/09/1905,26 September: Albert Einstein's formulation of special relativity.
16/10/1905,"16 October: The British Indian Province of Bengal, partitioned by the Viceroy of India, Lord Curzon."
18/04/1906,"18 April: An earthquake in San Francisco, California, magnitude 7.9, kills 3,000."
13/07/1906,13 July: Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus Affair ends.
16/08/1906,"16 August: An earthquake in Valparaíso, Chile, magnitude 8.2, kills 20,000."
28/09/1906,28 September: The US begins the Second Occupation of Cuba.
23/10/1906,23 October: Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris.
